Report generated on: 09-09-2022 23:18:25
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-WORL-MMTCD.A","        CO2 emissions (MMtonnes CO2)","2206.690829","2382.046176","2526.687327","2473.373964","2536.892888","2422.25256","2684.786146","2777.042758","2756.562392","2703.188545","2807.171174","2914.008533","2942.790633","3064.923181","3184.516899","3316.753148","3461.741169","3654.178703","3749.381715","3964.523069","4134.686706","4261.307787","4311.927159","4532.007774","4721.984594","4561.227063","4426.421477","4694.157203","4835.524743","4883.910187","4946.62713","18701.974390117","18327.413968122","18284.002342435","18478.512213667","19602.547366601","20027.312840344","20511.371402668","21163.840556468","21842.542051064","22158.630157995","22144.802907335","21974.86771129","21766.142146958","21891.921080269","22064.884266997","22552.701540911","23042.161849148","23112.850596809","23152.164345777","23494.916283117","24258.080886456","24463.109021826","25016.047459541","26169.805807764","27602.319534239","28689.676654606","29632.540125273","30083.781880617","30795.450937338","30621.827233626","32519.305374489","33633.324487296","34423.41474807","34839.904249264","34894.260052604","34751.60559312","34572.38070396","35002.900777162","35584.933497695","35548.679163405"
"INTL.4002-8-WORL-MMTCD.A","            Coal and coke (MMtonnes CO2)","1117.538985","1151.600346","1166.858975","1052.386511","1057.069608","904.191799","1037.883229","1054.597765","1003.746034","887.188523","885.131027","915.20039","895.367315","922.086003","968.730285","1018.939941","1075.146471","1127.040292","1106.890376","1145.758543","1148.256664","1134.441275","1076.124032","1121.253602","1206.273733","1185.238653","1180.732528","1265.646355","1299.544892","1298.097603","1409.790188","7474.451783472067","7500.570037339787","7637.0571729077965","7847.456002190892","8200.682660904273","8492.224771197689","8592.516827712843","8930.92482470953","9201.30690363281","9208.270755032696","9099.92120767272","8815.93197181372","8579.464301276748","8576.38363770498","8615.11961790755","8861.830258509253","9057.83033391605","8918.455039363995","8859.043568391446","8901.519950071843","9372.45887465767","9467.451429659879","9714.21755993948","10524.394847466909","11430.848129136657","12196.524590185958","12869.563102364411","13500.576650228411","13748.982929158181","13867.179119508768","15001.88223245512","15810.993222426312","16293.987126218846","16472.731944844498","16382.288249101699","15926.204269356636","15514.189322313727","15608.517756453744","15773.074340737823","15587.833747081519"
"INTL.4010-8-WORL-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","269.537229","312.826758","369.725933","396.144693","414.852766","437.259069","472.164274","504.395476","534.718185","559.789329","615.214424","650.165364","678.658772","721.046984","756.340573","802.669334","827.517342","891.737381","941.907241","1008.297454","1085.46723","1144.349535","1179.62356","1191.847277","1176.064903","1135.378681","1043.574103","1063.895862","1042.126381","1046.300303","1081.593377","2842.337165239","2843.874298181","2854.97311412","2913.476944206","3214.469613122","3349.517700309","3395.116049334","3571.676242214","3753.118806616","3925.341385303","3971.958025298","4055.906399638","4075.491754392","4181.691129489","4174.75467229","4297.390278663","4396.182316834","4422.460435481","4456.588039317","4571.850603326","4736.163826731","4754.981620364","4974.681563292","5119.268510389","5279.489805772","5429.202966814","5630.349601392","5811.117852225","5978.147381183","5782.11737159","6324.816534711","6513.89466993","6662.056920043","6759.120315845","6783.647503147","6883.268116663","7023.602020587","7253.923510471","7607.936617844","7768.089520043"
"INTL.4006-8-WORL-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","819.614615","917.619072","990.102419","1024.84276","1064.970514","1080.801692","1174.738643","1218.049517","1218.098173","1256.210693","1306.825723","1348.642779","1368.764546","1421.790194","1459.446041","1495.143873","1559.077356","1635.40103","1700.584098","1810.467072","1900.962812","1982.516977","2056.179567","2218.906895","2339.645958","2240.609729","2202.114846","2364.614986","2493.85347","2539.512281","2455.243565","8385.185441405567","7982.969632596297","7791.972055406164","7717.579267270882","8187.395092579148","8185.570368835878","8523.738525619945","8661.239489543545","8888.116340815435","9025.018017657594","9072.923674364718","9103.0293398383","9111.18609129243","9133.846313074948","9275.00997680021","9393.481003739906","9588.149198400144","9771.935121965329","9836.532738071268","10021.545729717078","10149.458185069314","10240.675971804989","10327.148336304794","10526.1424499044","10891.981599328534","11063.949097606172","11132.627421518873","10772.087378167133","11068.32062699947","10972.530742525249","11192.606607317048","11308.436594940287","11467.370701808617","11608.05198857437","11728.324300353772","11942.133207106728","12034.589361049557","12140.459510229892","12203.922539102654","12192.755896281456"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-AFG-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.325964518","1.509627735","1.65960468","2.05960468","2.065436114","2.093515917","2.311010238","3.646724197","6.056769431","6.024286809","5.92606127","2.693772146","1.704078481","1.60213467","1.599940882","1.301904405","1.357036213","1.255092401","1.255092401","1.25314859","1.15314859","0.848627166","0.838908091","0.707268691","0.705324879","0.80338105","0.707268691","1.160454789","1.472591437","6.230759779","7.794436305","11.097938929","9.753422695","7.910700222","7.169380063","7.852509211","7.279395964","7.886124149","9.391163087","7.893076967"
"INTL.4002-8-AFG-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2313138584444692","0.24297674547176684","0.2818530296847648","0.2818530296847648","0.28768446438142214","0.2935159167120624","0.31101023843601744","0.32461693702886757","0.26824633109191465","0.24686436860287178","0.20410046125876896","0.18271851640370898","0.015550510158402586","0.013606698592850122","0.011662887027297657","0.009719075461745191","0.005831434696657394","0.0038876231311049296","0.0038876231311049296","0.0019438115655524648","0.0019438115655524648","0.050539171240295555","0.040820095778550364","0.06803349296425061","0.06608968139869814","0.06414585219916281","0.06803349296425061","0.4723467923506836","0.6745034420439001","0.9719069818870674","1.409265130789841","2.8768411170176478","2.410326341285056","2.61831417879917","2.94953966956931","2.6533027869791144","3.300592038308085","4.25889114012545","4.752619277775776","4.157812938716722"
"INTL.4010-8-AFG-MMTCD.A","            Consumed natural gas (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.11110066","0.16665099","0.27775165","0.27775165","0.27775165","0","0","1.22210726","3.8885231","3.77742244","3.721960809","0.61105363","0.588527971","0.588527971","0.588277995","0.39218533","0.451204778","0.451204778","0.451204778","0.451204778","0.451204778","0.098087995","0.098087995","0.039235198","0.039235198","0.039235198","0.039235198","0.078470396","0.098087995","0.058852797","0.278371366","0.316625359","0.314467441","0.30308933","0.278371366","0.286806862","0.324276157","0.324276157","0.318251809","0.267356448"
"INTL.4006-8-AFG-MMTCD.A","            Petroleum and other liquids (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.98355","1.1","1.1","1.5","1.5","1.8","2","2.1","1.9","2","2","1.9","1.1","1","1","0.9","0.9","0.8","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.7","0.6","0.6096376005716212","0.7","5.2","6.1067998082019015","7.904472452590294","7.028628912867734","4.989296712867721","3.9414690271174107","4.912399561916772","3.654527768469","3.3029568522037414","4.320292","3.46790758"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Emissions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4008-8-ALB-MMTCD.A","        CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.618526399","9.533068754","9.594264089","9.981384922","10.126808525","10.0889756","10.154939541","9.828091766","9.947020892","9.31315936","6.830770197","4.756772992","3.901890471","2.890835751","2.328549426","2.463787517","2.019993742","1.958145439","2.331577807","2.926686734","3.264883293","3.579187341","3.750333192","4.25058022","4.345900091","4.637862111","4.612172485","3.173024237","4.525973878","3.02339894","3.673558222","3.756730087","3.393630544","3.857129766","4.043419507","3.913785734","4.105771205","4.483725681","4.031301559","3.794237959"
"INTL.4002-8-ALB-MMTCD.A","            Coal and coke (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.379753098919158","2.5220151238087323","2.8387607890497923","3.0703312922126327","3.3157548954572644","3.533472300393471","3.4772349211892024","3.6392864863609695","3.658262642313658","3.624401110371459","3.130702975677201","1.7798171919233805","0.5023715125149439","0.33217651314596564","0.2698347963492977","0.20507288667137238","0.1613095783693886","0.11902266282299423","0.072893643184318","0.08756395834625731","0.1061991291589934","0.12050317736467527","0.09164902827792647","0.09189605620346715","0.08721592695472927","0.07917794677681964","0.15348832144569313","0.22199633124741036","0.2694819378687711","0.36690699987268427","0.32997327378360214","0.30933648801027264","0.27731551776351104","0.2467157108686455","0.3115977020617652","0.2641770030799899","0.20566711837122503","0.20471895151274705","0.204335593307699","0.2345324350440709"
