Report generated on: 09-09-2022 23:12:37
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    Production (quad Btu)","296.33892638783124","291.29294516883664","290.13179497929667","293.059722966743","308.93652228404113","316.4796477735128","326.77065973692703","334.4003717285661","347.42624326677713","354.02993197437803","357.6476552998461","354.9342109627256","353.74550908528585","354.3991010327389","360.4628796673754","368.352662339656","377.5237359765232","382.0752085232466","386.6176489531726","386.4123103170364","399.57402086114564","405.25312658448","407.0584696563416","422.8184350997273","445.1184889904539","460.9700390332305","473.3677321937436","482.03963343899943","494.5908195980975","491.20163720623674","516.8388527074169","531.7958182962876","544.5108672150069","552.7661407644005","561.9517039661864","567.0819282285868","563.0611620638136","577.5605969702308","599.9403244406009","610.127948763986"
"INTL.4411-1-WORL-QBTU.A","        Coal (quad Btu)","80.11419429217284","80.46072857252325","83.39892921243354","83.68635266676536","87.66942309140777","91.67976259540721","94.04460314569837","96.27315618601719","98.484482307848","99.69778782084639","99.11036307205735","94.63549028888383","92.56402669413919","89.79363279274185","91.52235139877408","93.0388626499095","95.01372087328369","95.14823821089767","94.85874544158509","93.43444618010021","96.35175110587458","100.62205117478446","101.53735095097707","109.1792253883295","117.93527969567978","125.83982681613908","132.81939271902064","138.7439109988479","143.32412681516183","145.06417328123976","156.2086544801788","164.66525307911613","169.35463503988345","172.11532853035095","171.97190799307953","168.0372360187643","158.11543900082316","162.70189255164675","169.00762720989252","172.8805680672926"
"INTL.4413-1-WORL-QBTU.A","        Natural gas (quad Btu)","54.761045594","55.573536747","55.495522664","56.115951591","61.758597532","64.124522824","65.3286482","68.456090111","71.852937709","74.275334695","75.71061055622445","76.54630922805","76.98422316215","78.26171644017","79.09593181919","80.259389028885","82.472672797445","82.67449658445","84.254563484725","86.177673629795","89.284232201125","91.07169452946","93.015439943915","96.017745427345","98.69077144902","102.05366759534","105.9648831963465","108.24629312239315","111.655585316465","109.557474242312","116.9456786391905","121.00264316649792","123.53319087066691","125.0319148566211","126.99005268263717","129.64451519214128","130.87610482247993","137.19536479261004","144.78481071740782","149.42589296128122"
"INTL.4415-1-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","133.11110886607943","125.4389494908981","119.76280547269802","119.26919636784994","122.55382660121982","121.1347896143825","126.54884517346557","127.41624158977147","132.48530315454272","134.51224497683808","136.20048496405158","135.6845937855959","135.97233507662952","136.16617908665611","138.79962323865502","141.7986045160947","145.33288245897097","149.41746070172442","152.30484143945174","150.20614271476774","156.3524197410136","155.599378877645","153.93557188127215","159.02637524606845","166.96336658077956","169.7702379970861","169.4516308666953","169.04951340235297","171.08479943099033","167.18719397979933","169.98902161833328","171.49963671051054","176.7631131071993","176.80791215147696","181.10878066871888","186.20285375825227","187.1639374079486","187.04435010966216","191.50575318770893","190.4143712222601"
"INTL.4419-1-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","28.352577635578957","29.81973035841526","31.47453763016508","33.988222341127695","36.954675059413546","39.54057273972307","40.84856321776311","42.25488384177744","44.60352009538641","45.54456448169358","46.62619670751276","48.067817660195885","48.22492415236716","50.1775727131709","51.044973210756304","53.255806144766794","54.704459846823525","54.8350130261745","55.19949858741077","56.594047792373395","57.58561781313246","57.960002002590564","58.57010688017732","58.595089037984366","61.52907126497457","63.30630662466529","65.13182541168118","65.99991591540538","68.52630803548033","69.39279570288562","73.69549796971425","74.62828534016307","74.85992819725726","78.81098522595146","81.8809626217508","83.19732325942896","86.90568083256193","90.61898951631179","94.6421333255916","97.40711651315206"
"INTL.4417-1-WORL-QBTU.A","            Nuclear (quad Btu)","7.575700462108056","8.527153469041346","9.513564900249781","10.726269052400601","13.004801462616154","15.308215638891767","16.259214126257767","17.657473147580532","19.239734502687906","19.751988706903777","20.370349009889445","21.200391752851","21.293305112891","22.021933828870257","22.419615044868","23.271641998395108","24.12233346058731","23.894273308120038","24.3219089250932","25.0949486786868","25.66540234234877","26.39672752802685","26.687049583117595","26.3103814021426","27.26426676758241","27.32037650219456","27.6857650697614","27.17861208425301","27.04552305768614","26.65832584580376","27.371283484609023","26.249765870525543","24.49650856368213","24.654789068762053","25.24871323476304","25.51534762299271","25.919075483508795","26.205744800620568","26.764290136207443","27.829132183646088"
"INTL.4418-1-WORL-QBTU.A","            Renewables and other (quad Btu)","20.7768771734709","21.292576889373915","21.9609727299153","23.261953288727096","23.94987359679739","24.2323571008313","24.58934909150534","24.59741069419691","25.363785592698505","25.7925757747898","26.255847697623317","26.867425907344888","26.931619039476157","28.155638884300647","28.625358165888304","29.984164146371686","30.582126386236215","30.940739718054463","30.877589662317572","31.499099113686597","31.92021547078369","31.563274474563713","31.883057297059725","32.28470763584176","34.264804497392156","35.98593012247073","37.446060341919775","38.82130383115237","41.48078497779419","42.73446985708186","46.32421448510524","48.37851946963753","50.363419633575134","54.1561961571894","56.63224938698776","57.68197563643624","60.986605349053136","64.41324471569122","67.87784318938417","69.57798432950598"
"INTL.44-2-WORL-QBTU.A","    Consumption (quad Btu)","292.90148841964134","289.4061936853281","289.7023306179676","293.7447017743036","307.2498740648749","315.4425342993387","322.2024481960799","332.7621111818125","345.5742565824915","351.3741638579045","353.3566905936469","353.70160140049603","352.66436569905636","355.48621734905373","359.31619464318203","369.1719010515761","378.97503557919174","380.13779193728686","382.31985621550837","389.4690159848024","402.1029067557508","404.93133685500624","413.67700431724114","428.1958738533066","450.374417059237","464.9504594629818","479.6993746991619","493.21599695248256","500.0011260764267","494.78000408350925","527.3143102052499","541.4725966055827","551.7116250566936","561.5864420636611","566.5154103681401","566.2014361167509","573.6749997077325","585.0780262381843","598.6927285810207","601.1167183922889"
"INTL.4411-2-WORL-QBTU.A","        Coal (quad Btu)","78.65613402957136","78.96358115724246","80.42233145868552","82.63117397777681","86.35602132940099","89.40927570236686","90.43233993287703","94.05052174351427","96.87317778919781","96.91196100025746","95.8682105181181","92.79332773309156","90.33662590167104","90.3580890117368","90.80055859530955","93.39771785706802","95.43679120348958","93.94179571821077","93.328446512178","93.71771359822658","98.65762994443422","99.65626417422149","102.20566984993137","110.73420014955313","120.2748196992517","128.31167968389207","135.437494232085","142.11492073092091","144.71198625025733","145.84131089372232","157.78389678023797","166.29814745052704","171.4097247654401","173.4044175131814","172.37696137771815","167.55377941633245","163.28915072031637","164.12081829669893","165.82616622066567","163.8989528681374"
