row_ideology,Argentina,Australia,Brazil,Canada,Colombia,Costa Rica,Egypt,India,Indonesia,Japan,Malaysia,Mexico,Nigeria,Philippines,Russia,Saudi Arabia,South Africa,Taiwan,Thailand,Turkey,Vietnam
0 (Left),3,5,6,4,4,4,6,6,3,2,4,6,10,4,4,3,8,3,3,7,5
1,2,6,3,6,3,2,3,6,3,2,3,3,4,2,2,4,4,2,2,4,2
2,4,13,4,11,3,3,2,4,1,6,3,4,5,4,3,3,4,4,2,5,2
3,16,30,11,30,13,18,11,10,7,41,21,17,9,16,15,9,15,36,17,15,10
4,5,11,7,9,4,6,4,6,3,11,7,5,5,9,6,4,7,12,4,6,5
5,3,4,4,3,3,3,2,5,1,4,3,3,4,5,4,3,4,4,3,3,2
6 (Right),7,3,15,3,11,10,7,15,7,2,7,6,24,12,5,9,17,3,3,13,11
Prefer not to answer,55,29,44,32,54,50,57,40,65,29,47,51,33,41,57,57,35,32,59,42,50
Refused,5,,4,2,5,4,8,8,10,3,5,6,6,8,4,6,5,5,6,6,11
(Unweighted Base),2450,2668,2093,2888,2040,2464,1394,4502,1377,2747,1125,2378,1125,1126,2568,952,1512,1918,1442,1712,1263
